Genus;Species;cluster
Propionivibrio;unknown species;Cluster_38497
Pseudoxanthomonas;Multi-affiliation;Cluster_3851
Lysobacter;Lysobacter hankyongensis;Cluster_3854
Desulforegula;Multi-affiliation;Cluster_3858
Methylovulum;Methylosoma sp.;Cluster_3859
unknown genus;unknown species;Cluster_3861
Perlucidibaca;Perlucidibaca piscinae;Cluster_3862
Dysgonomonas;unknown species;Cluster_3867
Multi-affiliation;Multi-affiliation;Cluster_3868
unknown genus;metagenome;Cluster_3870
Legionella;Legionella sp.;Cluster_3871
Prevotellaceae UCG-001;unknown species;Cluster_3879
Enterobacter;unknown species;Cluster_38796
Pygmaiobacter;Pygmaiobacter massiliensis;Cluster_388
unknown genus;unknown species;Cluster_3888
Bact-08;unknown species;Cluster_38885
Alistipes;Multi-affiliation;Cluster_389
Desulfonatronum;Desulfonatronum thiosulfatophilum;Cluster_3893
Devosia;Multi-affiliation;Cluster_3895
unknown genus;unknown species;Cluster_38960
Telmatospirillum;unknown species;Cluster_38969
unknown genus;unknown species;Cluster_3897
Anaerocella;unknown species;Cluster_3899
Clostridioides;Multi-affiliation;Cluster_39
Acinetobacter;unknown species;Cluster_39020
unknown genus;metagenome;Cluster_3904
Treponema;Multi-affiliation;Cluster_3906
unknown genus;unknown species;Cluster_3910
unknown genus;Multi-affiliation;Cluster_3913
Desulfovibrio;Multi-affiliation;Cluster_39132
Taibaiella;unknown species;Cluster_3914
Leucobacter;Leucobacter corticis;Cluster_3915
Bacillus;Multi-affiliation;Cluster_3916
unknown genus;unknown species;Cluster_39161
unknown genus;unknown species;Cluster_3918
unknown genus;unknown species;Cluster_3921
unknown genus;metagenome;Cluster_3926
Comamonas (ma);Multi-affiliation;Cluster_393
Ochrobactrum;unknown species;Cluster_3933
unknown genus;Multi-affiliation;Cluster_3934
Microbacterium;Microbacterium thalassium;Cluster_3936
unknown genus;unknown species;Cluster_3937
Multi-affiliation;Multi-affiliation;Cluster_3945
Peredibacter;unknown species;Cluster_39466
unknown genus;unknown species;Cluster_39487
Chryseobacterium;Chryseobacterium montanum;Cluster_3951
Desulfovibrio;Desulfovibrio mexicanus;Cluster_3956
Desulfovibrio;unknown species;Cluster_3958
unknown genus;unknown species;Cluster_396
Dialister;Multi-affiliation;Cluster_3960
Ochrobactrum;Ochrobactrum rhizosphaerae;Cluster_397
JTB215;bacterium str. 77003;Cluster_3970
Serratia;Ewingella americana;Cluster_3973
Myroides;Multi-affiliation;Cluster_398
Aeromonas;Multi-affiliation;Cluster_3986
Bacteroides;bacterium NLAE-zl-H46;Cluster_3989
unknown genus;unknown species;Cluster_3991
Sideroxydans;unknown species;Cluster_3992
Candidatus Electronema;Candidatus Electronema palustris;Cluster_3993
Aeromonas;Pseudaeromonas pectinilytica;Cluster_3994
Proteocatella;unknown species;Cluster_4
Dysgonomonas;Multi-affiliation;Cluster_40
Legionella;unknown species;Cluster_400
Subdoligranulum;Multi-affiliation;Cluster_40024
Limosilactobacillus;Lactobacillus fermentum;Cluster_4003
Lactococcus;unknown species;Cluster_40042
Paludibacter;unknown species;Cluster_4007
unknown genus;unknown species;Cluster_40074
Aeromonas;Multi-affiliation;Cluster_40095
Dysgonomonas;unknown species;Cluster_40125
Desulfovibrio;unknown species;Cluster_4013
Oxalobacter;Multi-affiliation;Cluster_4015
Multi-affiliation;Multi-affiliation;Cluster_402
unknown genus;unknown species;Cluster_40250
Acinetobacter;Multi-affiliation;Cluster_4027
Acinetobacter;unknown species;Cluster_4029
UCG-008;unknown species;Cluster_403
Cloacibacillus;Cloacibacillus evryensis;Cluster_4030
Paludibacter;unknown species;Cluster_4031
Rhodobacter;Multi-affiliation;Cluster_4032
Desulfovibrio;bacterium NLAE-zl-H43;Cluster_40328
unknown genus;unknown species;Cluster_4033
Pseudomonas;Pseudomonas japonica;Cluster_4034
Propionivibrio;unknown species;Cluster_4036
Multi-affiliation;Multi-affiliation;Cluster_4046
Multi-affiliation;Multi-affiliation;Cluster_4050
Pseudochrobactrum;Multi-affiliation;Cluster_4057
Hypnocyclicus;unknown species;Cluster_40581
TC1;unknown species;Cluster_4072
Legionella;unknown species;Cluster_408
Multi-affiliation;Multi-affiliation;Cluster_40870
Enterococcus;Multi-affiliation;Cluster_40892
unknown genus;unknown species;Cluster_40899
unknown genus;unknown species;Cluster_409
Lachnospiraceae UCG-008;metagenome;Cluster_4090
Clostridium sensu stricto 13;Multi-affiliation;Cluster_4092
Lachnoclostridium;[Clostridium] fimetarium;Cluster_4094
Flavobacterium;unknown species;Cluster_4095
dgA-11 gut group;unknown species;Cluster_4104
Bacteroides;unknown species;Cluster_41078
Aeromonas;Aeromonas veronii;Cluster_41086
Dysgonomonas;unknown species;Cluster_4110
Paludibacterium;Multi-affiliation;Cluster_4111
Acinetobacter;unknown species;Cluster_41198
Enterococcus;Multi-affiliation;Cluster_412
Hungatella;Multi-affiliation;Cluster_41331
Bacteroides;Bacteroidaceae bacterium MS4;Cluster_4137
Empedobacter;Empedobacter sp.;Cluster_4141
unknown genus;unknown species;Cluster_41503
unknown genus;unknown species;Cluster_416
Slackia;Multi-affiliation;Cluster_4161
Hydrogenophaga;Multi-affiliation;Cluster_4167
unknown genus;unknown species;Cluster_41703
Flavobacterium;Flavobacterium ardleyense;Cluster_4175
Cetobacterium;unknown species;Cluster_4178
Sulfuricurvum;unknown species;Cluster_418
Lentimicrobium;unknown species;Cluster_4186
Cutibacterium;Multi-affiliation;Cluster_4187
Bacteroides;unknown species;Cluster_4194
Candidatus Schmidhempelia;unknown species;Cluster_4199
Lachnoclostridium;[Clostridium] saccharolyticum;Cluster_42
unknown genus;unknown species;Cluster_4205
Butyrivibrio;unknown species;Cluster_4206
unknown genus;unknown species;Cluster_42091
Pleomorphomonas;Pleomorphomonas oryzae;Cluster_4215
Bifidobacterium;Multi-affiliation;Cluster_42186
Acinetobacter;Acinetobacter celticus;Cluster_422
unknown genus;metagenome;Cluster_4220
Morganella;Multi-affiliation;Cluster_4222
Thiothrix;Multi-affiliation;Cluster_4234
unknown genus;unknown species;Cluster_4235
Zoogloea;Multi-affiliation;Cluster_424
Jeotgalibaca;Multi-affiliation;Cluster_4243
unknown genus;unknown species;Cluster_4244
Arenimonas;unknown species;Cluster_42443
Vitreoscilla;Multi-affiliation;Cluster_425
Empedobacter;Empedobacter brevis;Cluster_4250
Desulfovibrio;Multi-affiliation;Cluster_42511
Proteocatella;unknown species;Cluster_4256
Anaerovorax;bacterium enrichment culture clone DPF01;Cluster_4259
unknown genus;wastewater metagenome;Cluster_42602
Macellibacteroides;Multi-affiliation;Cluster_42620
Alloprevotella;unknown species;Cluster_4263
Sebaldella;unknown species;Cluster_42645
Blautia;Blautia phocaeensis;Cluster_4267
Kluyvera;Kluyvera georgiana;Cluster_427
Multi-affiliation;Multi-affiliation;Cluster_42712
Acinetobacter;unknown species;Cluster_4278
Flavonifractor;Multi-affiliation;Cluster_4279
Fusobacterium;Multi-affiliation;Cluster_428
Acinetobacter;Multi-affiliation;Cluster_4281
Acinetobacter;bacterium 28S325;Cluster_4282
Comamonas;Comamonas sp.;Cluster_429
unknown genus;Multi-affiliation;Cluster_4292
Aeromonas;Multi-affiliation;Cluster_4295
Lachnoclostridium;Multi-affiliation;Cluster_4298
Rhizobiaceae/Brucella;Multi-affiliation;Cluster_43
Flavobacterium;Flavobacterium cheniae;Cluster_430
Bacteroides;unknown species;Cluster_4308
Fusobacterium;Multi-affiliation;Cluster_4309
Anaeromusa-Anaeroarcus;Multi-affiliation;Cluster_431
Bacteroides;unknown species;Cluster_43108
[Eubacterium] xylanophilum group;unknown species;Cluster_43156
Coprobacter;unknown species;Cluster_4316
Christensenellaceae R-7 group;Multi-affiliation;Cluster_432
Escherichia-Shigella;Multi-affiliation;Cluster_43241
Paludibacter;unknown species;Cluster_4325
Brachymonas;metagenome;Cluster_4328
Dokdonella;metagenome;Cluster_4329
Chryseolinea;unknown species;Cluster_4332
unknown genus;unknown species;Cluster_4333
unknown genus;unknown species;Cluster_4334
Microvirga;Multi-affiliation;Cluster_4337
unknown genus;unknown species;Cluster_4339
Thauera;Multi-affiliation;Cluster_434
unknown genus;unknown species;Cluster_4341
unknown genus;metagenome;Cluster_4345
Aeromonas;unknown species;Cluster_4346
unknown genus;unknown species;Cluster_4348
Multi-affiliation;Multi-affiliation;Cluster_4350
Turneriella;metagenome;Cluster_4351
Raoultella;Multi-affiliation;Cluster_43539
Taibaiella;Multi-affiliation;Cluster_4357
Anaerostignum;unknown species;Cluster_4358
Iamia;Multi-affiliation;Cluster_43616
Dysgonomonas;Multi-affiliation;Cluster_4364
Ferruginibacter;Multi-affiliation;Cluster_4365
unknown genus;unknown species;Cluster_4369
unknown genus;unknown species;Cluster_4371
Multi-affiliation;Multi-affiliation;Cluster_4373
Crenothrix;unknown species;Cluster_43753
Multi-affiliation;Multi-affiliation;Cluster_4376
Rhodoferax;Curvibacter sp.;Cluster_4379
Multi-affiliation;Multi-affiliation;Cluster_438
Aquicella;unknown species;Cluster_4381
Edaphobaculum;unknown species;Cluster_4383
unknown genus;metagenome;Cluster_4384
Enterococcus;Multi-affiliation;Cluster_43875
Arcobacter;Multi-affiliation;Cluster_4391
unknown genus;unknown species;Cluster_4397
unknown genus;unknown species;Cluster_43972
unknown genus;unknown species;Cluster_4399
unknown genus;unknown species;Cluster_4400
unknown genus;unknown species;Cluster_4401
unknown genus;metagenome;Cluster_4403
unknown genus;unknown species;Cluster_44039
Dysgonomonas;Multi-affiliation;Cluster_44067
RBG-16-49-21;unknown species;Cluster_4407
unknown genus;metagenome;Cluster_4408
Acinetobacter;Multi-affiliation;Cluster_4409
unknown genus;unknown species;Cluster_4410
Methylocystis;unknown species;Cluster_4411
Noviherbaspirillum;unknown species;Cluster_4413
Fluviicola;Multi-affiliation;Cluster_4414
unknown genus;unknown species;Cluster_44158
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;Multi-affiliation;Cluster_4417
Aeromonas;unknown species;Cluster_44194
Multi-affiliation;Multi-affiliation;Cluster_442
Nocardioides;Multi-affiliation;Cluster_4423
unknown genus;unknown species;Cluster_4425
Bacteroides;Bacteroides coprophilus;Cluster_4426
Herbinix;unknown species;Cluster_4429
Aeromonas;unknown species;Cluster_443
Negativibacillus;unknown species;Cluster_44328
unknown genus;unknown species;Cluster_4434
Conexibacter;Multi-affiliation;Cluster_4436
unknown genus;unknown species;Cluster_4438
Acinetobacter;Acinetobacter xiamenensis;Cluster_444
Salinispira;unknown species;Cluster_4440
Arcobacter;Multi-affiliation;Cluster_44435
unknown genus;unknown species;Cluster_4444
unknown genus;unknown species;Cluster_4445
Desulfovibrio;unknown species;Cluster_4446
unknown genus;unknown species;Cluster_4448
Butyricimonas;Butyricimonas sp.;Cluster_44486
Desulfovibrio;Multi-affiliation;Cluster_4450
Parabacteroides;unknown species;Cluster_44500
Candidatus Finniella;Candidatus Finniella lucida;Cluster_4454
unknown genus;unknown species;Cluster_44545
Legionella;Legionella lytica;Cluster_4459
unknown genus;metagenome;Cluster_4463
Methylocaldum;Methylococcaceae bacterium;Cluster_4465
Desulfovibrio;Multi-affiliation;Cluster_4466
Undibacterium;Undibacterium sp.;Cluster_4468
Multi-affiliation;Multi-affiliation;Cluster_4469
Multi-affiliation;Multi-affiliation;Cluster_447
Rhizobacter;unknown species;Cluster_4472
Desulfovibrio;unknown species;Cluster_4474
alphaI cluster;metagenome;Cluster_4478
unknown genus;unknown species;Cluster_4480
Multi-affiliation;Multi-affiliation;Cluster_44899
Multi-affiliation;Multi-affiliation;Cluster_449
OLB8;metagenome;Cluster_4491
Carboxylicivirga;unknown species;Cluster_4494
Acinetobacter;unknown species;Cluster_44953
Pleomorphomonas;unknown species;Cluster_45
Trichococcus;Multi-affiliation;Cluster_4503
Saccharofermentans;unknown species;Cluster_4505
Oxalobacter;Oxalobacter formigenes HOxBLS;Cluster_4506
unknown genus;unknown species;Cluster_4508
Aeromonas;Pseudaeromonas sharmana;Cluster_4509
unknown genus;unknown species;Cluster_4519
unknown genus;metagenome;Cluster_4528
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;Multi-affiliation;Cluster_453
Multi-affiliation;Multi-affiliation;Cluster_4530
Desulforegula;unknown species;Cluster_4531
unknown genus;Multi-affiliation;Cluster_4532
unknown genus;unknown species;Cluster_4533
Aeromonas;Pseudaeromonas pectinilytica;Cluster_4538
unknown genus;unknown species;Cluster_45397
Desulfovibrio;Multi-affiliation;Cluster_4540
Pleomorphomonas;Pleomorphomonas oryzae;Cluster_4548
Methyloglobulus;unknown species;Cluster_45489
possible genus 03;unknown species;Cluster_4549
Prevotella_9;Prevotella sp.;Cluster_4555
Syntrophomonas;metagenome;Cluster_4556
Paludibacter;unknown species;Cluster_4559
Aquabacterium;unknown species;Cluster_4563
Dokdonella;unknown species;Cluster_4564
Cavicella;Cavicella subterranea;Cluster_4565
Pseudochrobactrum;Multi-affiliation;Cluster_4567
Roseimarinus;unknown species;Cluster_4570
Dokdonella;metagenome;Cluster_4575
Desulfonema;unknown species;Cluster_4577
Corynebacterium;Multi-affiliation;Cluster_4578
Flavobacterium;Multi-affiliation;Cluster_4580
Novosphingobium;unknown species;Cluster_4581
Carnobacterium;Multi-affiliation;Cluster_4583
Proteocatella;unknown species;Cluster_4584
Aeromonas;Multi-affiliation;Cluster_45857
Niveibacterium;Multi-affiliation;Cluster_45908
Ellin6055;unknown species;Cluster_4593
Roseimarinus;unknown species;Cluster_45950
Runella;Runella palustris;Cluster_4597
Gordonia;Gordonia jinhuaensis;Cluster_4598
Mycobacterium;Mycobacterium insubricum;Cluster_460
Rhodoferax;Albidiferax ferrireducens;Cluster_4600
Desulfatiferula;Multi-affiliation;Cluster_4603
Arcobacter;unknown species;Cluster_46046
Paludibaculum;Paludibaculum fermentans;Cluster_4607
Asticcacaulis;Multi-affiliation;Cluster_4609
Comamonas;Comamonas sediminis;Cluster_461
unknown genus;unknown species;Cluster_4619
Multi-affiliation;Multi-affiliation;Cluster_4620
unknown genus;Aquabacterium sp.;Cluster_4625
Catabacter;Catabacter hongkongensis;Cluster_4626
Nannocystis;metagenome;Cluster_4627
Insolitispirillum;Insolitispirillum peregrinum;Cluster_463
Peredibacter;Bacteriovorax sp.;Cluster_4632
unknown genus;unknown species;Cluster_4636
unknown genus;unknown species;Cluster_4639
Parabacteroides;Multi-affiliation;Cluster_464
Multi-affiliation;Multi-affiliation;Cluster_4640
HN-HF0106;unknown species;Cluster_4646
Dysgonomonas;unknown species;Cluster_4647
Nocardioides;Multi-affiliation;Cluster_4654
Legionella;Multi-affiliation;Cluster_46561
Kaistia;Kaistia geumhonensis;Cluster_4662
unknown genus;metagenome;Cluster_4666
Methylophilus;unknown species;Cluster_4667
unknown genus;Escherichia sp.;Cluster_467
Aeromonas;unknown species;Cluster_4672
unknown genus;unknown species;Cluster_4673
unknown genus;unknown species;Cluster_4679
Uruburuella;Multi-affiliation;Cluster_468
Stenotrophomonas;unknown species;Cluster_4680
Acinetobacter;Multi-affiliation;Cluster_4689
unknown genus;metagenome;Cluster_46913
Aeromonas;Aeromonas rivuli;Cluster_46935
unknown genus;Multi-affiliation;Cluster_46955
WCHB1-32;unknown species;Cluster_4696
Rheinheimera;unknown species;Cluster_4697
unknown genus;unknown species;Cluster_4698
Pectobacterium;Pectobacterium cacticida;Cluster_4699
Pseudarcobacter;unknown species;Cluster_47
Lachnoclostridium;bacterium NLAE-zl-H519;Cluster_470
unknown genus;metagenome;Cluster_4705
Multi-affiliation;Multi-affiliation;Cluster_4706
Enterobacter;Enterobacter ludwigii;Cluster_4707
Treponema;Multi-affiliation;Cluster_4708
Ruminococcus;Multi-affiliation;Cluster_471
Butyricimonas;unknown species;Cluster_4713
unknown genus;unknown species;Cluster_47161
Tolumonas;Multi-affiliation;Cluster_4722
Multi-affiliation;Multi-affiliation;Cluster_4726
Aeromonas;Multi-affiliation;Cluster_4727
Proteocatella;unknown species;Cluster_47301
unknown genus;unknown species;Cluster_4732
Limnohabitans;metagenome;Cluster_47321
Multi-affiliation;Multi-affiliation;Cluster_4735
unknown genus;metagenome;Cluster_4739
Multi-affiliation;Multi-affiliation;Cluster_47471
Ancylobacter;Multi-affiliation;Cluster_4753
Acetobacteroides;unknown species;Cluster_4755
Pseudomonas;Pseudomonas agarici;Cluster_4777
Coxiella;metagenome;Cluster_4778
Multi-affiliation;Multi-affiliation;Cluster_4782
Sebaldella;Sebaldella termitidis ATCC 33386;Cluster_4790
Enterococcus;Multi-affiliation;Cluster_47923
Acidaminobacter;unknown species;Cluster_48
Pleomorphomonas;Pleomorphomonas oryzae;Cluster_480
Candidatus Megaira;Multi-affiliation;Cluster_48017
Aeromonas;Multi-affiliation;Cluster_4811
Sandaracinus;unknown species;Cluster_4816
Ramlibacter;unknown species;Cluster_482
Pseudomonas;Multi-affiliation;Cluster_4822
Sedimentibacter;unknown species;Cluster_483
Lactonifactor;Multi-affiliation;Cluster_48317
Dechlorobacter;unknown species;Cluster_4832
unknown genus;metagenome;Cluster_4837
Multi-affiliation;Multi-affiliation;Cluster_484
Multi-affiliation;Multi-affiliation;Cluster_48438
Ottowia;Ottowia beijingensis;Cluster_4845
Aeromonas;Pseudaeromonas pectinilytica;Cluster_4856
Gordonia;Gordonia defluvii;Cluster_486
Cloacibacterium;unknown species;Cluster_4862
Dysgonomonas;unknown species;Cluster_4868
Telmatospirillum;mine drainage metagenome;Cluster_4869
Prevotella_7;unknown species;Cluster_4871
Acetoanaerobium;Multi-affiliation;Cluster_48725
Streptococcus;bacterium str. 37236;Cluster_488
unknown genus;unknown species;Cluster_4880
Cytophaga;unknown species;Cluster_48830
Aeromonas;Multi-affiliation;Cluster_4886
unknown genus;unknown species;Cluster_4897
Hypnocyclicus;unknown species;Cluster_49
unknown genus;unknown species;Cluster_4901
Hypnocyclicus;unknown species;Cluster_4903
unknown genus;unknown species;Cluster_4912
Desulfovibrio;unknown species;Cluster_4923
Comamonas;Multi-affiliation;Cluster_49332
Dysgonomonas;Dysgonomonas sp.;Cluster_4935
Robinsoniella;Robinsoniella peoriensis;Cluster_4941
Providencia;Providencia stuartii;Cluster_4942
Comamonas;Comamonas sp.;Cluster_4943
Candidatus Riegeria;unknown species;Cluster_495
Flavobacterium;unknown species;Cluster_49512
Comamonas;Multi-affiliation;Cluster_4952
Arcobacter;Arcobacter faecis;Cluster_4954
Tolumonas;unknown species;Cluster_49546
UCG-009;unknown species;Cluster_4956
Sutterella;unknown species;Cluster_49586
Paludibacterium;Multi-affiliation;Cluster_496
Thermomonas;Multi-affiliation;Cluster_4962
Shuttleworthia;unknown species;Cluster_4965
unknown genus;metagenome;Cluster_4966
Vitreoscilla;Neisseria sp.;Cluster_4967
Cetobacterium;unknown species;Cluster_497
Aeromonas;metagenome;Cluster_49709
Gallicola;unknown species;Cluster_4972
Fluviicola;unknown species;Cluster_49743
Flavobacterium;Multi-affiliation;Cluster_4975
Eubacterium;Multi-affiliation;Cluster_498
Lachnoclostridium;Multi-affiliation;Cluster_49864
Acinetobacter;Multi-affiliation;Cluster_49879
Haemophilus;unknown species;Cluster_4995
Acetoanaerobium;Multi-affiliation;Cluster_5
Vagococcus;Vagococcus fluvialis;Cluster_50
Rivicola;Multi-affiliation;Cluster_500
Multi-affiliation;Multi-affiliation;Cluster_501
Acinetobacter;Acinetobacter sp.;Cluster_5016
Formivibrio;metagenome;Cluster_5017
Undibacterium;beta proteobacterium HTCC525;Cluster_5022
unknown genus;unknown species;Cluster_5026
Multi-affiliation;Multi-affiliation;Cluster_50420
Chryseobacterium;Chryseobacterium anthropi;Cluster_5045
Shewanella;Multi-affiliation;Cluster_5049
Aeromonas;Multi-affiliation;Cluster_5050
Acetobacteroides;Bacteriodetes bacterium enrichment culture clone AP-FeEnrich5;Cluster_50500
unknown genus;unknown species;Cluster_50511
Dickeya;Multi-affiliation;Cluster_50556
Psychrobacter;unknown species;Cluster_5057
Dysgonomonas;Multi-affiliation;Cluster_506
Fibrobacter;unknown species;Cluster_5064
Fusibacter;unknown species;Cluster_507
unknown genus;unknown species;Cluster_50701
unknown genus;Idiomarina sp.;Cluster_5075
Simplicispira;Simplicispira piscis;Cluster_5080
Vitreoscilla;Neisseria sp.;Cluster_5081
Veillonella;unknown species;Cluster_5084
unknown genus;unknown species;Cluster_50850
Labrys;Labrys methylaminiphilus;Cluster_50920
Aeromonas;Multi-affiliation;Cluster_5094
Acetoanaerobium;Multi-affiliation;Cluster_5095
Fluviicola;unknown species;Cluster_51
Providencia;Multi-affiliation;Cluster_51008
Beggiatoa;unknown species;Cluster_511
Anaerocolumna;Multi-affiliation;Cluster_5111
Aeromonas;Pseudaeromonas pectinilytica;Cluster_512
Ottowia;Multi-affiliation;Cluster_5120
Kluyvera;Kluyvera sp.;Cluster_5123
Bacteroides;Bacteriodetes bacterium enrichment culture clone AP-FeEnrich3;Cluster_51265
Shewanella;Multi-affiliation;Cluster_51333
Paenirhodobacter;Paenirhodobacter enshiensis;Cluster_5140
Candidatus Competibacter;unknown species;Cluster_5141
unknown genus;unknown species;Cluster_5149
Sedimentibacter;Sedimentibacter sp.;Cluster_515
unknown genus;unknown species;Cluster_5155
Emticicia;unknown species;Cluster_5158
unknown genus;unknown species;Cluster_5159
Nannocystis;unknown species;Cluster_5160
unknown genus;unknown species;Cluster_5162
unknown genus;unknown species;Cluster_5164
unknown genus;unknown species;Cluster_51684
unknown genus;bacterium rJ7;Cluster_5170
Multi-affiliation;Multi-affiliation;Cluster_51728
Serratia;Multi-affiliation;Cluster_51734
Exiguobacterium;Multi-affiliation;Cluster_5176
Aeromonas;Pseudaeromonas pectinilytica;Cluster_5177
Aeromonas;Multi-affiliation;Cluster_51783
Paludibacter;Multi-affiliation;Cluster_5181
unknown genus;unknown species;Cluster_5182
Bdellovibrio;unknown species;Cluster_5183
Arenimonas;unknown species;Cluster_5184
Multi-affiliation;Multi-affiliation;Cluster_519
unknown genus;unknown species;Cluster_5190
Roseomonas;unknown species;Cluster_5196
[Eubacterium] fissicatena group;bacterium NLAE-zl-C109;Cluster_52
Neochlamydia;metagenome;Cluster_5202
unknown genus;unknown species;Cluster_5204
Desulforegula;unknown species;Cluster_52074
Flavobacterium;unknown species;Cluster_5210
Aeromonas;Multi-affiliation;Cluster_5211
OLB12;unknown species;Cluster_5213
Multi-affiliation;Multi-affiliation;Cluster_522
Acinetobacter;unknown species;Cluster_52209
Candidatus Accumulibacter;unknown species;Cluster_5221
unknown genus;metagenome;Cluster_5222
Multi-affiliation;Multi-affiliation;Cluster_5223
Paludibacterium;Neisseriaceae bacterium BFE30I;Cluster_5228
unknown genus;unknown species;Cluster_52281
unknown genus;metagenome;Cluster_5231
Paraprevotella;Paraprevotella xylaniphila;Cluster_5237
Comamonas;unknown species;Cluster_524
WCHB1-32;unknown species;Cluster_5249
Lactococcus;Lactococcus hircilactis;Cluster_525
unknown genus;metagenome;Cluster_5250
Bdellovibrio;unknown species;Cluster_5256
Dokdonella;metagenome;Cluster_5257
unknown genus;unknown species;Cluster_5266
unknown genus;unknown species;Cluster_5269
Candidatus Accumulibacter;unknown species;Cluster_527
unknown genus;Multi-affiliation;Cluster_5270
Nitrosomonas;Multi-affiliation;Cluster_5271
unknown genus;unknown species;Cluster_5276
unknown genus;metagenome;Cluster_5278
Bdellovibrio;Multi-affiliation;Cluster_5279
Dysgonomonas;unknown species;Cluster_528
Moraxella;Multi-affiliation;Cluster_5283
Desulfocapsa;unknown species;Cluster_5285
[Cytophaga] xylanolytica group;unknown species;Cluster_529
unknown genus;unknown species;Cluster_5292
unknown genus;unknown species;Cluster_5294
unknown genus;gut metagenome;Cluster_5295
unknown genus;Solimonas sp.;Cluster_5297
unknown genus;unknown species;Cluster_5300
unknown genus;unknown species;Cluster_5301
Tahibacter;unknown species;Cluster_5303
unknown genus;unknown species;Cluster_5306
Myroides;Multi-affiliation;Cluster_5311
unknown genus;unknown species;Cluster_5312
Ideonella;Multi-affiliation;Cluster_532
Bacteriovorax;unknown species;Cluster_5321
Azonexus;Azonexus sp.;Cluster_533
Sphingobium;Sphingobium boeckii;Cluster_5333
Fluviicola;unknown species;Cluster_5341
unknown genus;unknown species;Cluster_5343
unknown genus;unknown species;Cluster_53497
Simplicispira;metagenome;Cluster_535
unknown genus;unknown species;Cluster_5351
unknown genus;unknown species;Cluster_5353
Gemmatimonas;unknown species;Cluster_5359
[Agitococcus] lubricus group;metagenome;Cluster_536
Nitrospirillum;Rhodospirillaceae bacterium IA_FO_10;Cluster_5368
BD1-7 clade;unknown species;Cluster_5375
unknown genus;unknown species;Cluster_5376
Dysgonomonas;Dysgonomonas termitidis;Cluster_5377
HN-HF0106;unknown species;Cluster_5379
Ferruginibacter;unknown species;Cluster_53793
Lachnospiraceae NK4A136 group;unknown species;Cluster_5380
unknown genus;unknown species;Cluster_5382
Pelotomaculum;unknown species;Cluster_5383
Desulforegula;Multi-affiliation;Cluster_5385
BD1-7 clade;unknown species;Cluster_5387
unknown genus;metagenome;Cluster_5388
Rhodoferax;metagenome;Cluster_5389
Edaphobaculum;unknown species;Cluster_5390
Parabacteroides;unknown species;Cluster_53926
unknown genus;unknown species;Cluster_5394
Succinivibrio;unknown species;Cluster_540
Treponema;unknown species;Cluster_5408
Bauldia;metagenome;Cluster_5409
unknown genus;metagenome;Cluster_5413
unknown genus;Bacteroidales bacterium 36-12;Cluster_54147
unknown genus;metagenome;Cluster_5416
Enterococcus;Multi-affiliation;Cluster_5420
Falsirhodobacter;unknown species;Cluster_5421
Bacteroides;Multi-affiliation;Cluster_5426
WCHB1-32;unknown species;Cluster_5429
Paludibacterium;Paludibacterium sp.;Cluster_543
unknown genus;bacterium GPB6;Cluster_5432
unknown genus;unknown species;Cluster_5433
unknown genus;Solirubrobacterales bacterium 67-14;Cluster_54348
unknown genus;unknown species;Cluster_5445
Latilactobacillus;Multi-affiliation;Cluster_54468
Propionivibrio;unknown species;Cluster_5449
Dysgonomonas;unknown species;Cluster_545
Duganella;unknown species;Cluster_5454
Dechloromonas;Multi-affiliation;Cluster_5455
unknown genus;unknown species;Cluster_5456
Flavobacterium;Flavobacterium sp.;Cluster_54584
Cellulomonas;Cellulomonas hominis;Cluster_5461
Iamia;Multi-affiliation;Cluster_5463
Kocuria;Multi-affiliation;Cluster_5467
Rahnella1;unknown species;Cluster_5473
Olsenella;Multi-affiliation;Cluster_54787
Desulfatiferula;unknown species;Cluster_548
unknown genus;unknown species;Cluster_5482
Peredibacter;Multi-affiliation;Cluster_5487
Paludibaculum;unknown species;Cluster_5488
Leucobacter;Leucobacter albus;Cluster_549
Coprobacter;Coprobacter secundus;Cluster_54909
unknown genus;unknown species;Cluster_5491
Multi-affiliation;Multi-affiliation;Cluster_54940
unknown genus;Multi-affiliation;Cluster_5496
Clostridium sensu stricto 9;unknown species;Cluster_5498
[Clostridium] innocuum group;Multi-affiliation;Cluster_54990
Psychrobacter;Multi-affiliation;Cluster_54996
Pseudomonas;Multi-affiliation;Cluster_55
Desulfovibrio;Desulfovibrio sp.;Cluster_5500
Vagococcus;Vagococcus fluvialis;Cluster_55012
Paeniglutamicibacter;Multi-affiliation;Cluster_5505
Bacteroides;unknown species;Cluster_5506
unknown genus;unknown species;Cluster_551
Bacteriovorax;Bacteriovorax stolpii;Cluster_5514
Halobacteriovorax;Bacteriovorax sp.;Cluster_5520
Enterococcus;Multi-affiliation;Cluster_5521
WCHB1-32;unknown species;Cluster_5525
Denitratisoma;unknown species;Cluster_5529
RBG-16-49-21;metagenome;Cluster_5530
Acetoanaerobium;Multi-affiliation;Cluster_55337
Kluyvera;Kluyvera sp.;Cluster_5538
Hafnia-Obesumbacterium;Enterobacteriaceae bacterium bta3-1;Cluster_55384
